Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Quantity,Sales
Office Supplies,Philadelphia,United States,jOY DaNiElS6!,Tennsco,10/6/2013,CA-2011-110611,19120,"Tennsco Lockers, Gray",East,Consumer,10/10/2013,Standard Class,Pennsylvania,Storage,20%,1,-14,5,84
Office Supplies,Indianapolis,United States,vIctOria pIsTeka96,Fellowes,10/6/2013,CA-2011-109680,46203,Fellowes Staxonsteel Drawer Files,Central,Corporate,10/8/2013,First Class,Indiana,Storage,0%,1,54,2,386
Furniture,Philadelphia,United States,mAThew REEsE!,Seth Thomas,10/6/2013,CA-2011-117429,19140,"Seth Thomas 16"" Steel Case Clock",East,Home Office,10/13/2013,Standard Class,Pennsylvania,Furnishings,20%,1,21,5,130
Office Supplies,Dallas,United States,joHN GRaDy!,Fellowes,10/7/2013,CA-2011-132801,75217,"Fellowes Personal Hanging Folder Files, Navy",Central,Corporate,10/9/2013,Standard Class,Texas,Storage,20%,1,11,10,107
Technology,Charlotte,United States,JACK GarZA,Maxell,10/7/2013,CA-2011-142951,28205,"Maxell 74 Minute CDR, 10/Pack",South,Consumer,10/13/2013,Same Day,North Carolina,Accessories,20%,1,5,3,23
Office Supplies,New York City,United States,DuanE nOoNAN!,Xerox,10/8/2013,CA-2011-119977,10011,Xerox 197,East,Consumer,10/12/2013,Second Class,New York,Paper,0%,1,56,4,124
Office Supplies,Jacksonville,United States,BArt PISTOLE,Other,10/8/2013,CA-2011-137911,28540,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",South,Corporate,10/8/2013,Standard Class,North Carolina,Paper,20%,1,31,2,89
Office Supplies,San Francisco,United States,ShiRley JAcKSon32,Boston,10/9/2013,CA-2011-138240,94122,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,West,Consumer,10/13/2013,Standard Class,California,Art,0%,1,42,3,145
Technology,San Francisco,United States,shiRley JACKSON98,iOttie,10/9/2013,CA-2011-138240,94122,iOttie HLCRIO102 Car Mount,West,Consumer,10/15/2013,Standard Class,California,Phones,20%,1,-3,1,16
Furniture,Manteca,United States,TaNja nORVeLl85,Global,10/9/2013,CA-2011-140403,95336,"Global Deluxe Stacking Chair, Gray",West,Home Office,10/14/2013,Same Day,California,Chairs,20%,1,14,3,122
Office Supplies,Manteca,United States,TAnJA nORVeLl,Other,10/10/2013,CA-2011-140403,95336,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",West,Home Office,10/14/2013,Same Day,California,Envelopes,0%,1,7,2,15
Furniture,Phoenix,United States,sHirLeY DaNiEls,Westinghouse,10/10/2013,CA-2011-150329,85023,Westinghouse Clip-On Gooseneck Lamps,West,Home Office,10/10/2013,Standard Class,Arizona,Furnishings,20%,1,4,7,47
Technology,Huntsville,United States,CRAIg moLInARi,Motorola,10/10/2013,CA-2011-103492,77340,Motorola Droid Maxx,Central,Corporate,10/10/2013,Standard Class,Texas,Phones,20%,1,72,6,720
Technology,Huntsville,United States,CrAIg mOLInaRI98,Cisco,,CA-2011-103492,77340,Cisco 8x8 Inc. 6753i IP Business Phone System,Central,Corporate,,Standard Class,Texas,Phones,20%,1,,7,
Office Supplies,Huntsville,United States,,GBC,10/10/2013,CA-2011-103492,77340,GBC Personal VeloBind Strips,Central,Corporate,10/15/2013,Standard Class,Texas,Binders,80%,1,-19,5,12
Office Supplies,Huntsville,United States,CrAig moLINaRi,Avery,10/10/2013,CA-2011-103492,77340,Avery Non-Stick Binders,Central,Corporate,10/15/2013,Standard Class,Texas,Binders,80%,1,-2,1,1
Technology,Columbus,United States,RiCHarD bIeRneR,Hewlett-Packard,,US-2011-105137,43229,Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,East,Consumer,,Same Day,Ohio,Machines,70%,1,8.40E+110,2,2.26E+108
Office Supplies,Columbus,United States,riCharD BIErNer!,Premier,10/10/2013,US-2011-105137,43229,"Premier Elliptical Ring Binder, Black",East,Consumer,10/15/2013,Same Day,Ohio,Binders,70%,1,-13,2,18
Office Supplies,Albuquerque,United States,FRED cHUNG94,Dixon,10/10/2013,US-2011-134054,87105,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",West,Corporate,10/10/2013,Same Day,New Mexico,Art,0%,1,113,7,256
Office Supplies,Philadelphia,United States,jilL fJeLd!,Fellowes,10/10/2013,US-2011-126571,19120,Fellowes High-Stak Drawer Files,East,Consumer,10/10/2013,Standard Class,Pennsylvania,Storage,20%,1,11,2,282
Office Supplies,Philadelphia,United States,JILl FJeLd,Other,10/11/2013,US-2011-126571,19120,Airmail Envelopes,East,Consumer,10/10/2013,Standard Class,Pennsylvania,Envelopes,20%,1,68,3,201
Furniture,Seattle,United States,dEAN PErCEr,DAX,10/11/2013,CA-2011-116834,98115,DAX Cubicle Frames - 8x10,West,Home Office,10/15/2013,Standard Class,Washington,Furnishings,0%,1,19,11,63
Technology,Seattle,United States,deAn PERCer,WD My Passport,abc,CA-2011-116834,98115,WD My Passport Ultra 1TB Portable External Hard Drive,West,Home Office,xyz,Standard Class,Washington,Accessories,0%,1,8.40E+89,5,0
Office Supplies,Pasadena,United States,HElEn aNdReaDA,Iris,10/11/2013,CA-2011-157924,91104,Iris Project Case,West,Consumer,10/16/2013,First Class,California,Storage,0%,1,8,4,32
Furniture,Pasadena,United States,HELen AnDREAdA,Global,10/11/2013,CA-2011-157924,91104,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,West,Consumer,10/16/2013,First Class,California,Chairs,20%,1,-65,2,434
Office Supplies,Fayetteville,United States,DorOTHY bAdDErs,Universal,abc,CA-2011-114314,72701,Self-Adhesive Address Labels for Typewriters by Universal,South,Corporate,xyz,Standard Class,Arkansas,Labels,0%,1,inf,1,0
Furniture,Fayetteville,United States,dOrothy baDDeRS,Eldon,10/11/2013,CA-2011-114314,72701,Eldon Pizzaz Desk Accessories,South,Corporate,10/13/2013,Standard Class,Arkansas,Furnishings,0%,1,4,4,9
Office Supplies,Redondo Beach,United States,,Other,10/11/2013,CA-2011-128538,90278,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",West,Consumer,12/31/2023,Standard Class,California,Envelopes,0%,1,8.40E+99,1,0
Office Supplies,San Francisco,United States,,Other,10/11/2013,CA-2011-139451,94122,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,Consumer,10/15/2013,Standard Class,California,Art,0%,1,4,5,15
Office Supplies,San Francisco,United States,dUANe nOoNaN,Other,10/12/2013,CA-2011-139451,94122,"Sortfiler Multipurpose Personal File Organizer, Black",West,Consumer,10/15/2013,Standard Class,California,Storage,0%,1,6,1,21
Office Supplies,Chicago,United States,barRY POnd66!,Acme,abc,US-2011-154655,60623,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Central,Corporate,xyz,Standard Class,Illinois,Supplies,20%,1,inf,2,0
Office Supplies,Edmonds,United States,ZusCHuSS caRrOLl9,Newell,10/12/2013,CA-2011-151995,98026,Newell 32,West,Consumer,10/16/2013,First Class,Washington,Art,0%,1,3,4,12
Furniture,Edmonds,United States,ZuSChuss carRolL,Bevis,10/13/2013,CA-2011-151995,98026,"Bevis Round Bullnose 29"" High Table Top",West,Consumer,10/17/2013,First Class,Washington,Tables,0%,1,312,5,1299
Office Supplies,Edmonds,United States,zUscHUss CARRoLl,Belkin,10/13/2013,CA-2011-151995,98026,Belkin F9G930V10-GRY 9 Outlet Surge,West,Consumer,10/15/2013,First Class,Washington,Appliances,0%,1,62,4,214
Technology,Edmonds,United States,zUScHuSS CARrolL94!,Sony,10/13/2013,CA-2011-151995,98026,Sony 16GB Class 10 Micro SDHC R40 Memory Card,West,Consumer,10/15/2013,First Class,Washington,Accessories,0%,1,3,2,26
Furniture,Lakewood,United States,MAriNa LIChTEnStEIN,Global,,CA-2011-164742,8701,"Global High-Back Leather Tilter, Burgundy",East,Corporate,,Second Class,New Jersey,Chairs,0%,1,inf,2,inf
Office Supplies,Lakewood,United States,mARiNa LICHtenStEIn,Other,10/13/2013,CA-2011-164742,8701,Flexible Leather- Look Classic Collection Ring Binder,East,Corporate,10/15/2013,Second Class,New Jersey,Binders,0%,1,9,1,19
Office Supplies,Mount Vernon,United States,,Other,10/13/2013,CA-2011-123316,10550,Recycled Pressboard Report Cover with Reinforced Top Hinge,East,Corporate,10/18/2013,Standard Class,New York,Binders,20%,1,3,3,8
Office Supplies,Richmond,United States,MIcHELLe aRnETt,Other,10/13/2013,CA-2011-132010,23223,Pastel Pink Envelopes,South,Home Office,10/18/2013,First Class,Virginia,Envelopes,0%,1,17,5,36
Technology,Richmond,United States,mIcheLle arNETT!,SanDisk,10/13/2013,CA-2011-132010,23223,SanDisk Cruzer 16 GB USB Flash Drive,South,Home Office,12/31/2023,First Class,Virginia,Accessories,0%,1,0,2,inf
Office Supplies,Richmond,United States,mICheLle ArNeTt10!,Space Solutions,10/13/2013,CA-2011-132010,23223,Space Solutions Industrial Galvanized Steel Shelving.,South,Home Office,10/15/2013,First Class,Virginia,Storage,0%,1,6,4,315
Office Supplies,Richmond,United States,MICHeLlE aRneTT83,Wilson Jones,abc,CA-2011-132010,23223,Wilson Jones Standard D-Ring Binders,South,Home Office,xyz,First Class,Virginia,Binders,0%,1,,3,0
Office Supplies,Concord,United States,JIm EPP,Avery,abc,US-2011-146353,3301,Avery Metallic Poly Binders,East,Corporate,xyz,Second Class,New Hampshire,Binders,0%,1,-11,4,0
Office Supplies,Concord,United States,jiM Epp0,Fellowes,10/14/2013,US-2011-146353,3301,Fellowes Bankers Box Recycled Super Stor/Drawer,East,Corporate,12/31/2023,Second Class,New Hampshire,Storage,0%,1,,5,
Office Supplies,Fort Worth,United States,HUNteR GlAntZ,Hoover,,CA-2011-163748,76106,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",Central,Consumer,,Standard Class,Texas,Appliances,80%,1,-9,4,0
Technology,Fort Worth,United States,Hunter GLaNTz,Hewlett-Packard,10/14/2013,CA-2011-163748,76106,Hewlett Packard 610 Color Digital Copier / Printer,Central,Consumer,10/16/2013,Standard Class,Texas,Copiers,20%,1,625,5,2000
Office Supplies,Chicago,United States,brADLey dRucKEr68!,Xerox,10/14/2013,US-2011-151015,60653,Xerox 1951,Central,Consumer,10/18/2013,Standard Class,Illinois,Paper,20%,1,101,13,322
Office Supplies,Chicago,United States,bRadleY DRucKEr,Pressboard,,US-2011-151015,60653,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Central,Consumer,,Standard Class,Illinois,Binders,80%,1,inf,3,inf
Office Supplies,Chicago,United States,,Xerox,10/14/2013,US-2011-151015,60653,Xerox 1903,Central,Consumer,10/20/2013,Standard Class,Illinois,Paper,20%,1,7,4,19
Technology,Everett,United States,TOby CaRlisle,WD My Passport,10/14/2013,CA-2011-151330,2149,WD My Passport Ultra 500GB Portable External Hard Drive,East,Consumer,10/20/2013,First Class,Massachusetts,Accessories,0%,1,30,3,177
Office Supplies,Everett,United States,TOBy CaRLislE,Other,10/14/2013,CA-2011-151330,2149,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",East,Consumer,12/31/2023,First Class,Massachusetts,Storage,0%,1,,7,0
Furniture,Everett,United States,toBY carLISle,Office Star,10/14/2013,CA-2011-151330,2149,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,East,Consumer,10/17/2013,First Class,Massachusetts,Chairs,0%,1,261,9,1629
Furniture,Hialeah,United States,,Executive Impressions,,CA-2011-143182,33012,"Executive Impressions 13"" Clairmont Wall Clock",South,Consumer,,Standard Class,Florida,Furnishings,20%,1,-4,1,2.26E+113
Furniture,Parma,United States,anNa chUnG,Global,10/15/2013,US-2011-122021,44134,Global Italian Leather Office Chair,East,Consumer,10/17/2013,First Class,Ohio,Chairs,30%,1,-8,2,183
Office Supplies,Parma,United States,aNnA cHuNG,Xerox,10/15/2013,US-2011-122021,44134,Xerox 1897,East,Consumer,10/20/2013,First Class,Ohio,Paper,20%,1,3,2,8
Office Supplies,San Francisco,United States,lYNn smith,Avery,10/15/2013,US-2011-109456,94110,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,West,Consumer,10/17/2013,Same Day,California,Binders,20%,1,5,3,14
Technology,San Francisco,United States,LyNN SmitH,Logitech,10/16/2013,US-2011-109456,94110,Logitech Illuminated - Keyboard,West,Consumer,10/17/2013,Same Day,California,Accessories,0%,1,86,3,180
Office Supplies,Beaumont,United States,TrACy blumSTeIN52,GBC,10/16/2013,CA-2011-124394,77705,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Central,Consumer,10/17/2013,Second Class,Texas,Binders,80%,1,-17,5,11
Technology,Beaumont,United States,TRacY BlumSTEin,Other,10/17/2013,CA-2011-124394,77705,Case Logic 2.4GHz Wireless Keyboard,Central,Consumer,10/17/2013,Second Class,Texas,Accessories,20%,1,-18,3,120
Furniture,Houston,United States,evAn BaIlLIET,G. E.,10/17/2013,CA-2011-103086,77095,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Central,Consumer,10/22/2013,Second Class,Texas,Furnishings,60%,1,-2,2,5
Office Supplies,Montgomery,United States,alaN SCHoeNBerger,Gould Plastics,10/17/2013,CA-2011-110408,36116,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",South,Corporate,10/22/2013,Second Class,Alabama,Storage,0%,1,11,3,276
Technology,Montgomery,United States,aLAN sCHoENbErGEr,Avaya,abc,CA-2011-110408,36116,Avaya IP Phone 1140E VoIP phone,South,Corporate,xyz,Second Class,Alabama,Phones,0%,1,-363,5,2.26E+144
Furniture,Montgomery,United States,AlaN ScHOEnBerger75,Global,10/18/2013,CA-2011-110408,36116,"Global Wood Trimmed Manager's Task Chair, Khaki",South,Corporate,10/20/2013,Second Class,Alabama,Chairs,0%,1,71,6,546
Office Supplies,Philadelphia,United States,eDwarD hOOks!,Other,,CA-2011-138450,19134,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",East,Corporate,,Standard Class,Pennsylvania,Envelopes,20%,1,8.40E+122,6,2.26E+119
Office Supplies,Philadelphia,United States,edWARD HOOks,Eldon,10/18/2013,CA-2011-138450,19134,"Eldon Base for stackable storage shelf, platinum",East,Corporate,10/20/2013,Standard Class,Pennsylvania,Storage,20%,1,-35,6,187
Office Supplies,Philadelphia,United States,EDwArD HookS0,Adams,10/18/2013,CA-2011-138450,19134,"Adams ""While You Were Out"" Message Pads",East,Corporate,10/22/2013,Standard Class,Pennsylvania,Paper,20%,1,3,4,10
Furniture,Texarkana,United States,luke sChMiDT0,Office Star,10/18/2013,CA-2011-115084,71854,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,South,Corporate,10/22/2013,Standard Class,Arkansas,Chairs,0%,1,145,6,605
Office Supplies,Seattle,United States,IVan GIBsOn20,Xerox,10/18/2013,CA-2011-143168,98103,Xerox 1925,West,Consumer,10/22/2013,Second Class,Washington,Paper,0%,1,28,2,62
Office Supplies,Seattle,United States,IVaN GiBSON!,Other,10/18/2013,CA-2011-143168,98103,Computer Printout Index Tabs,West,Consumer,10/22/2013,Second Class,Washington,Binders,20%,1,0,1,1
Office Supplies,Los Angeles,United States,JerEMY FArry64,Adams,10/18/2013,CA-2011-117317,90032,Spiral Phone Message Books with Labels by Adams,West,Consumer,10/23/2013,Same Day,California,Paper,0%,1,7,3,13
Office Supplies,San Francisco,United States,racHeL pAyNE,ACCOHIDE,10/19/2013,CA-2011-155264,94110,Accohide Poly Flexible Ring Binders,West,Corporate,10/23/2013,Second Class,California,Binders,20%,1,1,1,3
Office Supplies,San Francisco,United States,,Avery,10/19/2013,CA-2011-155264,94110,Avery Durable Slant Ring Binders With Label Holder,West,Corporate,10/19/2013,Second Class,California,Binders,20%,1,7,6,20
Office Supplies,San Francisco,United States,,Xerox,10/19/2013,CA-2011-155264,94110,Xerox 1917,West,Corporate,10/22/2013,Second Class,California,Paper,0%,1,69,3,147
Office Supplies,San Francisco,United States,rachEL PaYNe52!,Avery,10/19/2013,CA-2011-155264,94110,Avery 480,West,Corporate,10/22/2013,Second Class,California,Labels,0%,1,9,5,19
Technology,San Francisco,United States,RachEL paYnE!,Panasonic,10/19/2013,CA-2011-155264,94110,Panasonic KX TS208W Corded phone,West,Corporate,10/22/2013,Second Class,California,Phones,20%,1,12,3,118
Technology,Lakewood,United States,EugENe hildeBrAND55,RCA,10/19/2013,CA-2011-100867,90712,RCA Visys Integrated PBX 8-Line Router,West,Home Office,12/31/2023,Standard Class,California,Phones,20%,1,inf,6,inf
Office Supplies,Westland,United States,PATRIcK O'dONnELl9,Gould Plastics,10/19/2013,CA-2011-146703,48185,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,Consumer,10/22/2013,Second Class,Michigan,Storage,0%,1,8,4,212
Furniture,Knoxville,United States,FREd hOpKINS54!,Lesro,10/20/2013,CA-2011-169684,37918,"Lesro Round Back Collection Coffee Table, End Table",South,Corporate,10/24/2013,First Class,Tennessee,Tables,40%,1,-148,3,329
Office Supplies,Knoxville,United States,FreD HOPkinS51,Other,10/20/2013,CA-2011-169684,37918,"Contico 72""H Heavy-Duty Storage System",South,Corporate,10/25/2013,First Class,Tennessee,Storage,20%,1,-25,3,98
Technology,Chicago,United States,LInDsaY SHAGiaRI,Logitech,10/20/2013,CA-2011-137092,60653,Logitech Wireless Performance Mouse MX for PC and Mac,Central,Home Office,10/23/2013,Second Class,Illinois,Accessories,20%,1,72,4,320
Office Supplies,Chicago,United States,LiNdSAy sHAGiaRi,Other,10/20/2013,CA-2011-137092,60653,"24 Capacity Maxi Data Binder Racks, Pearl",Central,Home Office,10/23/2013,Second Class,Illinois,Storage,20%,1,32,3,505
Office Supplies,Chicago,United States,,Wirebound,10/20/2013,CA-2011-137092,60653,Wirebound Voice Message Log Book,Central,Home Office,10/22/2013,Second Class,Illinois,Paper,20%,1,1,1,4
Office Supplies,Chicago,United States,LiNdSAy SHAgIarI45,Other,10/20/2013,CA-2011-137092,60653,Satellite Sectional Post Binders,Central,Home Office,10/22/2013,Second Class,Illinois,Binders,80%,1,-15,1,9
Office Supplies,Chicago,United States,LInDSaY ShagiaRI63,Avery,10/20/2013,CA-2011-137092,60653,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Central,Home Office,12/31/2023,Second Class,Illinois,Labels,20%,1,0,1,0
Office Supplies,Fairfield,United States,trAcY bLUMStEiN17,Fellowes,10/20/2013,CA-2011-142587,45014,Fellowes Superior 10 Outlet Split Surge Protector,East,Consumer,10/22/2013,First Class,Ohio,Appliances,20%,1,14,4,122
Furniture,Fairfield,United States,tRAcY bLUMSTEin57!,Hon,10/21/2013,CA-2011-142587,45014,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",East,Consumer,10/22/2013,First Class,Ohio,Tables,40%,1,-123,3,410
Office Supplies,San Diego,United States,,Other,10/21/2013,CA-2011-169852,92024,Plastic Binding Combs,West,Corporate,10/22/2013,Standard Class,California,Binders,20%,1,12,3,36
Office Supplies,Newport News,United States,fraNk HawlEY,Eldon,10/21/2013,CA-2011-100916,23602,"Eldon Base for stackable storage shelf, platinum",South,Corporate,10/22/2013,Standard Class,Virginia,Storage,0%,1,10,5,195
Furniture,Newport News,United States,FRAnK hawlEy,Hon,10/21/2013,CA-2011-100916,23602,Hon 2111 Invitation Series Straight Table,South,Corporate,10/26/2013,Standard Class,Virginia,Tables,0%,1,112,4,591
Office Supplies,Newport News,United States,FRaNK hAwlEY39,Sanford,10/21/2013,CA-2011-100916,23602,SANFORD Liquid Accent Tank-Style Highlighters,South,Corporate,10/26/2013,Standard Class,Virginia,Art,0%,1,1,1,3
Furniture,Newark,United States,MauREEn gastiNEAU,Seth Thomas,10/21/2013,CA-2011-110072,43055,"Seth Thomas 14"" Putty-Colored Wall Clock",East,Home Office,10/26/2013,Standard Class,Ohio,Furnishings,20%,1,13,4,94
Furniture,Bossier City,United States,NicoLe breNnaN94!,Tenex,10/22/2013,CA-2011-151967,71111,Tenex Chairmats For Use with Hard Floors,South,Corporate,10/26/2013,Standard Class,Louisiana,Furnishings,0%,1,10,4,130
Office Supplies,Fort Lauderdale,United States,DANieL byrD26,Xerox,10/22/2013,CA-2011-108707,33311,Xerox 210,South,Home Office,10/28/2013,Standard Class,Florida,Paper,20%,1,4,2,10
Office Supplies,Rancho Cucamonga,United States,Allen ArmOLD,Avery,10/24/2013,CA-2011-130729,91730,Avery Premier Heavy-Duty Binder with Round Locking Rings,West,Consumer,10/26/2013,Standard Class,California,Binders,20%,1,11,3,34
Office Supplies,Rock Hill,United States,arTHUR pRicHEP,Advantus,abc,CA-2011-113047,29730,Advantus Map Pennant Flags and Round Head Tacks,South,Consumer,xyz,Same Day,South Carolina,Fasteners,0%,1,0,3,2.26E+265
Office Supplies,San Francisco,United States,AarON hAwkiNs,GBC,10/24/2013,US-2011-158400,94109,GBC VeloBind Cover Sets,West,Corporate,12/31/2023,First Class,California,Binders,20%,1,8.40E+192,4,0
Technology,Philadelphia,United States,,Memorex,10/25/2013,CA-2011-139542,19120,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",East,Consumer,10/24/2013,Standard Class,Pennsylvania,Accessories,20%,1,1,3,41
Office Supplies,Philadelphia,United States,evAN HENrY,GBC,,CA-2011-139542,19120,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",East,Consumer,,Standard Class,Pennsylvania,Binders,70%,1,-10,3,0
Furniture,Seattle,United States,ANgeLe hOod,Tenex,10/25/2013,CA-2011-162278,98105,Tenex Chairmats For Use With Carpeted Floors,West,Consumer,10/29/2013,Second Class,Washington,Furnishings,0%,1,3,4,64
Technology,Seattle,United States,Angele Hood,Other,10/26/2013,CA-2011-162278,98105,Vtech CS6719,West,Consumer,12/31/2023,Second Class,Washington,Phones,20%,1,-38,5,0
Office Supplies,Fayetteville,United States,,Xerox,10/26/2013,CA-2011-148285,28314,Xerox 2,South,Home Office,12/31/2023,Standard Class,North Carolina,Paper,20%,1,inf,2,
Office Supplies,Fayetteville,United States,ROSs dEViNcEntIS,Easy-staple paper,,CA-2011-148285,28314,Easy-staple paper,South,Home Office,,Standard Class,North Carolina,Paper,20%,1,inf,3,0
Office Supplies,Los Angeles,United States,TODd sumRaLL,Avery,10/27/2013,CA-2011-101931,90049,Avery Non-Stick Binders,West,Corporate,11/1/2013,First Class,California,Binders,20%,1,2,2,7
Office Supplies,Los Angeles,United States,ToDd SumRAlL43!,Other,10/28/2013,CA-2011-101931,90049,Serrated Blade or Curved Handle Hand Letter Openers,West,Corporate,11/1/2013,First Class,California,Supplies,0%,1,0,2,6
Office Supplies,Los Angeles,United States,toDd sUMralL,Other,10/28/2013,CA-2011-101931,90049,Premier Automatic Letter Opener,West,Corporate,10/31/2013,First Class,California,Supplies,0%,1,14,2,481
Furniture,Los Angeles,United States,TODd SUmRaLl17!,O'Sullivan,10/28/2013,CA-2011-101931,90049,O'Sullivan Living Dimensions 2-Shelf Bookcases,West,Corporate,10/31/2013,First Class,California,Bookcases,15%,1,-36,6,617
Office Supplies,Los Angeles,United States,Todd SuMraLL,Eldon,10/28/2013,CA-2011-101931,90049,Eldon Portable Mobile Manager,West,Corporate,10/31/2013,First Class,California,Storage,0%,1,38,5,141
Technology,Garden City,United States,bill tyleR,Other,10/28/2013,CA-2011-107769,67846,Digium D40 VoIP phone,Central,Corporate,10/31/2013,Standard Class,Kansas,Phones,0%,1,75,2,258
Technology,Chicago,United States,sue anN ReeD45,Apple,10/28/2013,CA-2011-154627,60610,Apple iPhone 5S,Central,Consumer,10/31/2013,First Class,Illinois,Phones,20%,1,342,6,2736
Technology,Columbus,United States,noah cHilDS!,Maxell,10/29/2013,CA-2011-166590,47201,Maxell 4.7GB DVD+R 5/Pack,Central,Corporate,11/1/2013,Standard Class,Indiana,Accessories,0%,1,1,2,2
Office Supplies,Columbus,United States,Noah chiLDs,Other,10/29/2013,CA-2011-166590,47201,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Central,Corporate,10/31/2013,Standard Class,Indiana,Paper,0%,1,36,2,76
Office Supplies,Los Angeles,United States,Greg guThRie,Other,10/29/2013,CA-2011-106439,90049,Staples,West,Corporate,11/2/2013,Standard Class,California,Fasteners,0%,1,5,3,11
Office Supplies,Los Angeles,United States,greG gUtHrIE,Other,10/31/2013,CA-2011-106439,90049,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",West,Corporate,11/2/2013,Standard Class,California,Storage,0%,1,21,5,80
Office Supplies,Los Angeles,United States,Greg gutHrie,Avery,10/31/2013,CA-2011-106439,90049,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",West,Corporate,11/4/2013,Standard Class,California,Binders,20%,1,5,2,16
Office Supplies,Los Angeles,United States,,Xerox,10/31/2013,CA-2011-106439,90049,Xerox 1952,West,Corporate,11/4/2013,Standard Class,California,Paper,0%,1,30,13,65
Office Supplies,Los Angeles,United States,GReg GUtHrie72,Fellowes,,CA-2011-106439,90049,"Fellowes Twister Kit, Gray/Clear, 3/pkg",West,Corporate,,Standard Class,California,Binders,20%,1,8.40E+44,3,
Office Supplies,Los Angeles,United States,GReg GUThRIe,Tennsco,10/31/2013,CA-2011-106439,90049,Tennsco Regal Shelving Units,West,Corporate,11/4/2013,Standard Class,California,Storage,0%,1,12,4,406
Furniture,Los Angeles,United States,GreG guThriE,Novimex,10/31/2013,CA-2011-106439,90049,Novimex Fabric Task Chair,West,Corporate,11/4/2013,Standard Class,California,Chairs,20%,1,-9,3,146
Technology,Los Angeles,United States,gREG gutHRie,Maxell,10/31/2013,CA-2011-106439,90049,Maxell LTO Ultrium - 800 GB,West,Corporate,11/4/2013,Standard Class,California,Accessories,0%,1,48,9,252
Office Supplies,Los Angeles,United States,GrEg gUThRIE,Newell,10/31/2013,CA-2011-106439,90049,Newell 325,West,Corporate,11/4/2013,Standard Class,California,Art,0%,1,4,3,12
Office Supplies,Cranston,United States,ANNE mcfArlaND!,Other,10/31/2013,CA-2011-145387,2920,Lumber Crayons,East,Consumer,11/4/2013,Second Class,Rhode Island,Art,0%,1,19,5,49
Office Supplies,Cranston,United States,anNe McFARlANd,Other,,CA-2011-145387,2920,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",East,Consumer,,Second Class,Rhode Island,Paper,0%,1,inf,2,inf
Furniture,Cranston,United States,AnnE McfArland,Eldon,10/31/2013,CA-2011-145387,2920,"Eldon Expressions Wood Desk Accessories, Oak",East,Consumer,11/2/2013,Second Class,Rhode Island,Furnishings,0%,1,4,2,15
Office Supplies,Cranston,United States,ANNE mcfARlANd55,GBC,10/31/2013,CA-2011-145387,2920,GBC Recycled VeloBinder Covers,East,Consumer,11/2/2013,Second Class,Rhode Island,Binders,0%,1,16,2,34
Furniture,Cranston,United States,,Eldon,10/31/2013,CA-2011-145387,2920,Eldon Wave Desk Accessories,East,Consumer,12/31/2023,Second Class,Rhode Island,Furnishings,0%,1,inf,3,0
Furniture,Cranston,United States,AnNE MCFaRLANd!,Hon,10/31/2013,CA-2011-145387,2920,Hon Pagoda Stacking Chairs,East,Consumer,11/2/2013,Second Class,Rhode Island,Chairs,0%,1,481,5,1605
Furniture,Cranston,United States,aNNE mcfaRLAnD84!,Chromcraft,10/31/2013,CA-2011-145387,2920,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",East,Consumer,11/2/2013,Second Class,Rhode Island,Tables,30%,1,-61,1,386
