Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Quantity,Sales,Profit Margin
Office Supplies,Atlanta,United States,Christopher Martinez,Newell,2014-03-16,CA-2012-145352,30318.0,Newell 344,South,Consumer,2014-03-21,Standard Class,Georgia,Art,0.0,1.0,2.0,3.0,8.0,0.25
Office Supplies,Atlanta,United States,Christopher Martinez,Other,2014-03-16,CA-2012-145352,30318.0,Personal File Boxes with Fold-Down Carry Handle,South,Consumer,2014-03-22,Standard Class,Georgia,Storage,0.0,1.0,12.0,3.0,47.0,0.26
Office Supplies,Atlanta,United States,Christopher Martinez,Fellowes,2014-03-16,CA-2012-145352,30318.0,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,South,Consumer,2014-03-22,Standard Class,Georgia,Binders,0.0,1.0,3177.0,5.0,6355.0,0.5
Furniture,Seattle,United States,Jeremy Ellison,KI,2014-03-16,CA-2012-112116,98103.0,KI Adjustable-Height Table,West,Consumer,2014-03-22,Second Class,Washington,Tables,0.0,1.0,45.0,2.0,172.0,0.26
Technology,New York City,United States,Michael Stewart,Plantronics,2014-03-16,CA-2012-153906,10009.0,Plantronics MX500i Earset,East,Corporate,2014-03-18,Standard Class,New York,Phones,0.0,1.0,3.0,2.0,86.0,0.03
Office Supplies,Auburn,United States,Maurice Satty,Other,2014-03-16,CA-2012-134257,36830.0,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",South,Consumer,2014-03-23,Second Class,Alabama,Labels,0.0,1.0,241.0,5.0,492.0,0.49
Office Supplies,Auburn,United States,Maurice Satty,Other,2014-03-16,CA-2012-134257,36830.0,Colored Envelopes,South,Consumer,2014-03-20,Second Class,Alabama,Envelopes,0.0,1.0,3.0,2.0,7.0,0.43
Office Supplies,New York City,United States,Jim Kriz,Avery,2014-03-16,US-2012-150231,10009.0,Avery Hi-Liter Smear-Safe Highlighters,East,Home Office,2014-03-19,Second Class,New York,Art,0.0,1.0,6.0,3.0,18.0,0.33
Technology,New York City,United States,Harold Ryan,KeyTronic,2014-03-16,CA-2012-110632,10009.0,KeyTronic KT800P2 - Keyboard - Black,East,Corporate,2014-03-19,Second Class,New York,Accessories,0.0,1.0,3.0,1.0,15.0,0.2
Office Supplies,Seattle,United States,Fred Hopkins,Other,2014-03-19,CA-2012-111829,98115.0,Deluxe Rollaway Locking File with Drawer,West,Corporate,2014-03-22,First Class,Washington,Storage,0.0,1.0,349.0,3.0,1248.0,0.28
Technology,Seattle,United States,Unknown Customer,Canon,2014-03-19,CA-2012-111829,98115.0,Canon PC940 Copier,West,Corporate,2014-03-25,First Class,Washington,Copiers,0.0,1.0,1480.0,7.0,3150.0,0.47
Office Supplies,Seattle,United States,Fred Hopkins,Other,2014-03-19,CA-2012-111829,98115.0,Multicolor Computer Printout Paper,West,Corporate,2014-03-20,First Class,Washington,Paper,0.0,1.0,101.0,2.0,210.0,0.48
Office Supplies,San Bernardino,United States,Unknown Customer,GBC,2014-03-19,CA-2012-113110,92404.0,GBC Imprintable Covers,West,Consumer,2014-03-20,Standard Class,California,Binders,0.2,1.0,6.0,2.0,18.0,0.33
Office Supplies,San Bernardino,United States,Berenike Kampe,Universal,2014-03-19,CA-2012-113110,92404.0,Self-Adhesive Address Labels for Typewriters by Universal,West,Consumer,2014-03-20,Standard Class,California,Labels,0.0,1.0,7.0,2.0,15.0,0.47
Office Supplies,San Bernardino,United States,Berenike Kampe,Acme,2014-03-19,CA-2012-113110,92404.0,Acme Elite Stainless Steel Scissors,West,Consumer,2014-03-23,Standard Class,California,Supplies,0.0,1.0,9.0,4.0,33.0,0.27
Office Supplies,San Bernardino,United States,Berenike Kampe,Wirebound,2014-03-19,CA-2012-113110,92404.0,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",West,Consumer,2014-03-23,Standard Class,California,Paper,0.0,1.0,20.0,6.0,40.0,0.5
Office Supplies,North Miami,United States,Dan Campbell,Adams,2014-03-19,CA-2012-143532,33161.0,"Adams Telephone Message Books, 5 1/4” x 11”",South,Consumer,2014-03-23,Standard Class,Florida,Paper,0.2,1.0,5.0,3.0,14.0,0.36
Office Supplies,Los Angeles,United States,Mike Caudle,Xerox,2014-03-19,CA-2012-163104,90004.0,Xerox 1974,West,Corporate,2014-03-23,Standard Class,California,Paper,0.0,1.0,6.0,2.0,12.0,0.5
Office Supplies,Lancaster,United States,Guy Armstrong,Stockwell,2014-03-19,CA-2012-149993,93534.0,Stockwell Push Pins,West,Consumer,2014-03-24,First Class,California,Fasteners,0.0,1.0,4.0,5.0,11.0,0.36
Office Supplies,Houston,United States,Corinna Mitchell,Xerox,2014-03-19,CA-2012-168088,77041.0,Xerox 1919,Central,Home Office,2014-03-26,First Class,Texas,Paper,0.2,1.0,24.0,2.0,66.0,0.36
Furniture,Houston,United States,Unknown Customer,Bush,2014-03-19,CA-2012-168088,77041.0,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Central,Home Office,2014-03-20,First Class,Texas,Bookcases,0.32,1.0,-68.0,4.0,383.0,-0.18
Office Supplies,Carrollton,United States,Joe Kamberova,GBC,2014-03-20,CA-2012-127607,75007.0,GBC Standard Plastic Binding Systems' Combs,Central,Consumer,2014-03-22,Standard Class,Texas,Binders,0.8,1.0,-4.0,2.0,3.0,-1.33
Office Supplies,Carrollton,United States,Joe Kamberova,Other,2014-03-20,CA-2012-127607,75007.0,Staples,Central,Consumer,2014-03-23,Standard Class,Texas,Fasteners,0.2,1.0,6.0,9.0,19.0,0.32
Office Supplies,Salem,United States,Bryan Mills,Other,2014-03-20,CA-2012-165813,97301.0,Portable Personal File Box,West,Consumer,2014-03-26,Second Class,Oregon,Storage,0.2,1.0,3.0,3.0,29.0,0.1
Office Supplies,New York City,United States,Unknown Customer,Wilson Jones,2014-03-20,CA-2012-159534,10035.0,Wilson Jones Century Plastic Molded Ring Binders,East,Corporate,2014-03-26,First Class,New York,Binders,0.2,1.0,17.0,3.0,50.0,0.34
Office Supplies,New York City,United States,Dave Hallsten,Other,2014-03-20,CA-2012-159534,10035.0,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",East,Corporate,2014-03-22,First Class,New York,Envelopes,0.0,1.0,12.0,1.0,24.0,0.5
Office Supplies,New York City,United States,Dave Hallsten,Fellowes,2014-03-20,CA-2012-159534,10035.0,Fellowes PB200 Plastic Comb Binding Machine,East,Corporate,2014-03-23,First Class,New York,Binders,0.2,1.0,354.0,8.0,1088.0,0.33
Technology,New York City,United States,Dave Hallsten,Panasonic,2014-03-20,CA-2012-159534,10035.0,Panasonic KX T7731-B Digital phone,East,Corporate,2014-03-23,First Class,New York,Phones,0.0,1.0,54.0,2.0,200.0,0.27
Office Supplies,Jacksonville,United States,Unknown Customer,Honeywell,2014-03-20,CA-2012-120621,28540.0,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,South,Consumer,2014-03-23,Standard Class,North Carolina,Appliances,0.2,1.0,156.0,4.0,962.0,0.16
Office Supplies,Jacksonville,United States,Julia West,GBC,2014-03-21,CA-2012-120621,28540.0,"GBC Laser Imprintable Binding System Covers, Desert Sand",South,Consumer,2014-03-23,Standard Class,North Carolina,Binders,0.7,1.0,-10.0,3.0,13.0,-0.77
Office Supplies,Jacksonville,United States,Julia West,Xerox,2014-03-21,CA-2012-120621,28540.0,Xerox 1883,South,Consumer,2014-03-26,Standard Class,North Carolina,Paper,0.2,1.0,96.0,14.0,295.0,0.33
Technology,Houston,United States,Dean Braden,Verbatim,2014-03-21,CA-2012-157812,77041.0,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,Consumer,2014-03-26,Standard Class,Texas,Accessories,0.2,1.0,5.0,1.0,18.0,0.28
Office Supplies,Houston,United States,Unknown Customer,Carina,2014-03-22,CA-2012-157812,77041.0,Carina Double Wide Media Storage Towers in Natural & Black,Central,Consumer,2014-03-26,Standard Class,Texas,Storage,0.2,1.0,-26.0,2.0,130.0,-0.2
Office Supplies,Houston,United States,Dean Braden,XtraLife,2014-03-22,CA-2012-157812,77041.0,XtraLife ClearVue Slant-D Ring Binders by Cardinal,Central,Consumer,2014-03-26,Standard Class,Texas,Binders,0.8,1.0,-21.0,9.0,14.0,-1.5
Technology,Thousand Oaks,United States,Ruben Dartt,Square,2014-03-22,CA-2012-163440,91360.0,Square Credit Card Reader,West,Consumer,2014-03-26,First Class,California,Phones,0.2,1.0,1.0,2.0,16.0,0.06
Furniture,San Diego,United States,Justin Deggeller,Tenex,2014-03-22,US-2012-163279,92037.0,Tenex B1-RE Series Chair Mats for Low Pile Carpets,West,Corporate,2014-03-24,Standard Class,California,Furnishings,0.0,1.0,16.0,2.0,92.0,0.17
Office Supplies,Huntsville,United States,Fred Wasserman,Newell,2014-03-22,CA-2012-121552,35810.0,Newell 316,South,Corporate,2014-03-26,Standard Class,Alabama,Art,0.0,1.0,5.0,4.0,20.0,0.25
Office Supplies,Plantation,United States,Debra Catini,Iris,2014-03-22,CA-2012-117884,33317.0,"Iris 3-Drawer Stacking Bin, Black",South,Consumer,2014-03-27,Same Day,Florida,Storage,0.2,1.0,-34.0,9.0,150.0,-0.23
Furniture,Houston,United States,Julia Dunbar,Global,2014-03-22,US-2012-125374,77095.0,Global Deluxe Steno Chair,Central,Consumer,2014-03-22,Standard Class,Texas,Chairs,0.3,1.0,-29.0,2.0,108.0,-0.27
Office Supplies,Florence,United States,Sheri Gordon,Other,2014-03-23,CA-2012-130218,29501.0,Staples,South,Consumer,2014-03-22,First Class,South Carolina,Fasteners,0.0,1.0,14.0,4.0,32.0,0.44
Office Supplies,Florence,United States,Sheri Gordon,Eldon,2014-03-23,CA-2012-130218,29501.0,Eldon Shelf Savers Cubes and Bins,South,Consumer,2014-03-29,First Class,South Carolina,Storage,0.0,1.0,1.0,4.0,28.0,0.04
Office Supplies,Los Angeles,United States,Bart Pistole,REDIFORM,2014-03-23,CA-2012-138219,90049.0,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",West,Corporate,2014-03-26,Standard Class,California,Paper,0.0,1.0,17.0,4.0,33.0,0.52
Office Supplies,Los Angeles,United States,Unknown Customer,TOPS,2014-03-23,US-2012-107944,90008.0,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,Corporate,2014-03-26,First Class,California,Paper,0.0,1.0,93.0,11.0,193.0,0.48
Technology,Los Angeles,United States,Alice Mccarthy,Logitech,2014-03-23,US-2012-107944,90008.0,Logitech G600 MMO Gaming Mouse,West,Corporate,2014-03-30,First Class,California,Accessories,0.0,1.0,86.0,3.0,240.0,0.36
Furniture,Peoria,United States,Dennis Pardue,Sauder,2014-03-23,CA-2012-118423,61604.0,Sauder Inglewood Library Bookcases,Central,Home Office,2014-03-25,First Class,Illinois,Bookcases,0.3,1.0,-36.0,3.0,359.0,-0.1
Office Supplies,Coral Springs,United States,Ben Peterman,Eureka,2014-03-24,US-2012-112508,33065.0,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",South,Corporate,2014-03-25,Standard Class,Florida,Appliances,0.2,1.0,1.0,2.0,7.0,0.14
Furniture,Covington,United States,Cathy Prescott,Eldon,2014-03-24,CA-2012-145457,98042.0,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",West,Corporate,2014-03-27,Second Class,Washington,Furnishings,0.0,1.0,13.0,5.0,47.0,0.28
Office Supplies,Miami,United States,Benjamin Venier,Xerox,2014-03-24,CA-2012-103793,33142.0,Xerox 1988,South,Corporate,2014-03-30,Standard Class,Florida,Paper,0.2,1.0,23.0,3.0,74.0,0.31
Office Supplies,Philadelphia,United States,Gene Mcclure,Southworth,2014-03-26,CA-2012-167374,19140.0,Southworth 25% Cotton Antique Laid Paper & Envelopes,East,Consumer,2014-03-27,Second Class,Pennsylvania,Paper,0.2,1.0,13.0,6.0,40.0,0.32
Technology,Philadelphia,United States,Gene Mcclure,Verbatim,2014-03-26,CA-2012-167374,19140.0,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",East,Consumer,2014-03-31,Second Class,Pennsylvania,Accessories,0.2,1.0,5.0,3.0,17.0,0.29
Furniture,Seattle,United States,Ellis Ballard,Bush,2014-03-26,CA-2012-164301,98103.0,Bush Advantage Collection Racetrack Conference Table,West,Corporate,2014-03-30,Standard Class,Washington,Tables,0.0,1.0,611.0,8.0,3394.0,0.18
Office Supplies,New York City,United States,Suzanne Mcnair,Other,2014-03-26,US-2012-116981,10009.0,"Dual Level, Single-Width Filing Carts",East,Corporate,2014-03-30,Second Class,New York,Storage,0.0,1.0,282.0,7.0,1085.0,0.26
Office Supplies,New York City,United States,Suzanne Mcnair,Other,2014-03-26,US-2012-116981,10009.0,Disposable Triple-Filter Dust Bags,East,Corporate,2014-03-30,Second Class,New York,Appliances,0.0,1.0,3.0,3.0,13.0,0.23
Office Supplies,Seattle,United States,Mark Van Huff,Rogers,2014-03-26,CA-2012-132948,98115.0,Rogers Profile Extra Capacity Storage Tub,West,Consumer,2014-03-28,Standard Class,Washington,Storage,0.0,1.0,3.0,5.0,84.0,0.04
Technology,Los Angeles,United States,Alan Barnes,Imation,2014-03-27,CA-2012-131534,90036.0,Imation Bio 8GB USB Flash Drive Imation Corp,West,Consumer,2014-03-28,Standard Class,California,Accessories,0.0,1.0,25.0,1.0,166.0,0.15
Office Supplies,Los Angeles,United States,Alan Barnes,Xerox,2014-03-28,CA-2012-131534,90036.0,Xerox 1977,West,Consumer,2014-04-03,Standard Class,California,Paper,0.0,1.0,16.0,5.0,33.0,0.48
Office Supplies,New York City,United States,John Huston,Other,2014-03-28,CA-2012-133536,10009.0,Security-Tint Envelopes,East,Consumer,2014-04-02,Second Class,New York,Envelopes,0.0,1.0,11.0,3.0,23.0,0.48
Furniture,Jacksonville,United States,Sara Luxemburg,Hon,2014-03-28,CA-2012-153549,32216.0,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,South,Home Office,2014-04-02,Second Class,Florida,Chairs,0.2,1.0,131.0,5.0,1167.0,0.11
Office Supplies,Seattle,United States,Unknown Customer,Acco,2014-03-29,CA-2012-121272,98103.0,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,West,Consumer,2014-03-30,Standard Class,Washington,Appliances,0.0,1.0,21.0,4.0,73.0,0.29
Office Supplies,San Diego,United States,Richard Bierner,Xerox,2014-03-29,US-2012-103996,92105.0,Xerox 1880,West,Consumer,2014-03-31,Second Class,California,Paper,0.0,1.0,100.0,6.0,213.0,0.47
Office Supplies,San Diego,United States,Richard Bierner,TOPS,2014-03-29,US-2012-103996,92105.0,Tops Wirebound Message Log Books,West,Consumer,2014-04-04,Second Class,California,Paper,0.0,1.0,5.0,3.0,10.0,0.5
Technology,San Diego,United States,Richard Bierner,Memorex,2014-03-29,US-2012-103996,92105.0,Memorex Froggy Flash Drive 8 GB,West,Consumer,2014-03-31,Second Class,California,Accessories,0.0,1.0,21.0,3.0,53.0,0.4
Furniture,San Diego,United States,Richard Bierner,G. E.,2014-03-29,US-2012-103996,92105.0,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,West,Consumer,2014-03-31,Second Class,California,Furnishings,0.0,1.0,10.0,3.0,20.0,0.5
Office Supplies,Springfield,United States,Alan Shonely,Newell,2014-03-29,CA-2012-150749,22153.0,Newell 333,South,Consumer,2014-03-31,Second Class,Virginia,Art,0.0,1.0,1.0,2.0,6.0,0.17
Office Supplies,New York City,United States,Chad Mcguire,Ampad,2014-03-29,CA-2012-105361,10024.0,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",East,Consumer,2014-03-31,Standard Class,New York,Paper,0.0,1.0,8.0,4.0,18.0,0.44
Technology,Chicago,United States,Fred Chung,AT&T,2014-03-30,CA-2012-121405,60610.0,AT&T 17929 Lendline Telephone,Central,Corporate,2014-04-04,Standard Class,Illinois,Phones,0.2,1.0,14.0,5.0,181.0,0.08
Furniture,Normal,United States,Daniel Raglin,Office Star,2014-03-30,CA-2012-104871,61761.0,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Central,Home Office,2014-04-04,Standard Class,Illinois,Chairs,0.3,1.0,-110.0,4.0,367.0,-0.3
Technology,Jacksonville,United States,Unknown Customer,Other,2014-03-30,CA-2012-137106,32216.0,PureGear Roll-On Screen Protector,South,Corporate,2014-04-04,Standard Class,Florida,Phones,0.2,1.0,28.0,5.0,80.0,0.35
Office Supplies,Houston,United States,Ed Braxton,Other,2014-03-31,CA-2012-128125,77095.0,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Central,Corporate,2014-04-03,Standard Class,Texas,Paper,0.2,1.0,36.0,3.0,98.0,0.37
Technology,Dallas,United States,Michael Oakman,Kingston,2014-04-02,US-2012-122140,75220.0,Kingston Digital DataTraveler 16GB USB 2.0,Central,Consumer,2014-04-05,Standard Class,Texas,Accessories,0.2,1.0,-1.0,7.0,50.0,-0.02
Technology,Dallas,United States,Michael Oakman,Anker,2014-04-02,US-2012-122140,75220.0,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,Central,Consumer,2014-04-07,Standard Class,Texas,Accessories,0.2,1.0,2.0,3.0,48.0,0.04
Office Supplies,Houston,United States,Cari Sayre,Other,2014-04-02,CA-2012-136378,77070.0,Aluminum Screw Posts,Central,Corporate,2014-04-07,Standard Class,Texas,Binders,0.8,1.0,-14.0,3.0,9.0,-1.56
Technology,Los Angeles,United States,John Dryer,Other,2014-04-02,US-2012-159513,90049.0,"Vtech AT&T CL2940 Corded Speakerphone, Black",West,Consumer,2014-04-07,Standard Class,California,Machines,0.2,1.0,24.0,3.0,72.0,0.33
Office Supplies,New York City,United States,Nicole Fjeld,Dixon,2014-04-02,CA-2012-110667,10009.0,DIXON Ticonderoga Erasable Checking Pencils,East,Home Office,2014-04-09,Standard Class,New York,Art,0.0,1.0,4.0,2.0,11.0,0.36
Furniture,New York City,United States,Nicole Fjeld,Eldon,2014-04-04,CA-2012-110667,10009.0,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,East,Home Office,2014-04-07,Standard Class,New York,Furnishings,0.0,1.0,23.0,2.0,108.0,0.21
Office Supplies,New York City,United States,Nicole Fjeld,GBC,2014-04-04,CA-2012-110667,10009.0,GBC Prestige Therm-A-Bind Covers,East,Home Office,2014-04-08,Standard Class,New York,Binders,0.2,1.0,28.0,3.0,82.0,0.34
Office Supplies,New York City,United States,Nicole Fjeld,Avery,2014-04-04,CA-2012-110667,10009.0,Avery Round Ring Poly Binders,East,Home Office,2014-04-08,Standard Class,New York,Binders,0.2,1.0,3.0,4.0,9.0,0.33
Office Supplies,Lansing,United States,Nat Carroll,Hoover,2014-04-04,CA-2012-112452,48911.0,Hoover Shoulder Vac Commercial Portable Vacuum,Central,Consumer,2014-04-08,Same Day,Michigan,Appliances,0.1,1.0,107.0,2.0,644.0,0.17
Office Supplies,Lansing,United States,Nat Carroll,Other,2014-04-04,CA-2012-112452,48911.0,Staples,Central,Consumer,2014-04-08,Same Day,Michigan,Fasteners,0.0,1.0,3.0,2.0,6.0,0.5
Office Supplies,Lansing,United States,Nat Carroll,Acco,2014-04-04,CA-2012-112452,48911.0,Acco Expandable Hanging Binders,Central,Consumer,2014-04-04,Same Day,Michigan,Binders,0.0,1.0,6.0,2.0,13.0,0.46
Technology,Lansing,United States,Nat Carroll,Other,2014-04-04,CA-2012-112452,48911.0,Shocksock Galaxy S4 Armband,Central,Consumer,2014-04-04,Same Day,Michigan,Phones,0.0,1.0,0.0,1.0,11.0,0.0
Office Supplies,Bristol,United States,Greg Guthrie,GBC,2014-04-04,US-2012-136476,37620.0,GBC DocuBind 300 Electric Binding Machine,South,Corporate,2014-04-04,Standard Class,Tennessee,Binders,0.7,1.0,-116.0,1.0,158.0,-0.73
Office Supplies,Philadelphia,United States,Valerie Takahito,Bionaire,2014-04-05,CA-2012-167010,19143.0,Bionaire 99.97% HEPA Air Cleaner,East,Home Office,2014-04-04,Standard Class,Pennsylvania,Appliances,0.2,1.0,18.0,7.0,98.0,0.18
Office Supplies,Philadelphia,United States,Valerie Takahito,Fellowes,2014-04-05,CA-2012-167010,19143.0,Fellowes High-Stak Drawer Files,East,Home Office,2014-04-10,Standard Class,Pennsylvania,Storage,0.2,1.0,21.0,4.0,564.0,0.04
Office Supplies,Philadelphia,United States,Valerie Takahito,Cardinal,2014-04-05,CA-2012-167010,19143.0,Cardinal Slant-D Ring Binders,East,Home Office,2014-04-10,Standard Class,Pennsylvania,Binders,0.7,1.0,-7.0,4.0,10.0,-0.7
Furniture,Philadelphia,United States,Unknown Customer,Tenex,2014-04-05,CA-2012-167010,19143.0,Tenex Antistatic Computer Chair Mats,East,Home Office,2014-04-10,Standard Class,Pennsylvania,Furnishings,0.2,1.0,-68.0,4.0,547.0,-0.12
Technology,Philadelphia,United States,Valerie Takahito,Other,2014-04-05,CA-2012-167010,19143.0,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,East,Home Office,2014-04-10,Standard Class,Pennsylvania,Phones,0.4,1.0,-3.0,5.0,15.0,-0.2
Technology,Philadelphia,United States,Valerie Takahito,Other,2014-04-05,CA-2012-167010,19143.0,Speck Products Candyshell Flip Case,East,Home Office,2014-04-10,Standard Class,Pennsylvania,Phones,0.4,1.0,-10.0,2.0,42.0,-0.24
Furniture,Philadelphia,United States,Valerie Takahito,DAX,2014-04-05,CA-2012-167010,19143.0,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",East,Home Office,2014-04-10,Standard Class,Pennsylvania,Furnishings,0.2,1.0,2.0,1.0,8.0,0.25
Furniture,Philadelphia,United States,Valerie Takahito,Bush,2014-04-05,CA-2012-167010,19143.0,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",East,Home Office,2014-04-10,Standard Class,Pennsylvania,Bookcases,0.5,1.0,-211.0,5.0,352.0,-0.6
Office Supplies,Philadelphia,United States,Ted Trevino,Avery,2014-04-05,CA-2012-119942,19120.0,Avery 499,East,Consumer,2014-04-10,First Class,Pennsylvania,Labels,0.2,1.0,8.0,6.0,24.0,0.33
Furniture,Los Angeles,United States,Carol Adams,Other,2014-04-05,CA-2012-161452,90036.0,GuestStacker Chair with Chrome Finish Legs,West,Corporate,2014-04-10,Standard Class,California,Chairs,0.2,1.0,89.0,3.0,892.0,0.1
Technology,Spokane,United States,Jennifer Ferguson,SanDisk,2014-04-05,CA-2012-102855,99207.0,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,West,Consumer,2014-04-07,Same Day,Washington,Accessories,0.0,1.0,26.0,6.0,240.0,0.11
Office Supplies,Spokane,United States,Jennifer Ferguson,Dixon,2014-04-05,CA-2012-102855,99207.0,Dixon Ticonderoga Pencils,West,Consumer,2014-04-11,Same Day,Washington,Art,0.0,1.0,6.0,8.0,24.0,0.25
Technology,Houston,United States,Thomas Thornton,Maxell,2014-04-06,CA-2012-124541,77041.0,Maxell 4.7GB DVD-RW 3/Pack,Central,Consumer,2014-04-06,Standard Class,Texas,Accessories,0.2,1.0,4.0,2.0,25.0,0.16
Office Supplies,Houston,United States,Thomas Thornton,Ibico,2014-04-06,CA-2012-124541,77041.0,Ibico Covers for Plastic or Wire Binding Elements,Central,Consumer,2014-04-10,Standard Class,Texas,Binders,0.8,1.0,-12.0,3.0,7.0,-1.71
Office Supplies,Houston,United States,Thomas Thornton,Fellowes,2014-04-06,CA-2012-124541,77041.0,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Central,Consumer,2014-04-10,Standard Class,Texas,Binders,0.8,1.0,-17.0,6.0,10.0,-1.7
Office Supplies,Houston,United States,Thomas Thornton,Xerox,2014-04-06,CA-2012-124541,77041.0,Xerox 1949,Central,Consumer,2014-04-10,Standard Class,Texas,Paper,0.2,1.0,3.0,2.0,8.0,0.38
Office Supplies,Jacksonville,United States,Mark Hamilton,Xerox,2014-04-06,CA-2012-100888,28540.0,Xerox 1884,South,Consumer,2014-04-10,Standard Class,North Carolina,Paper,0.2,1.0,16.0,3.0,48.0,0.33
Technology,San Antonio,United States,Peter Fuller,Razer,2014-04-07,CA-2012-140025,78207.0,Razer Kraken PRO Over Ear PC and Music Headset,Central,Consumer,2014-04-10,Standard Class,Texas,Accessories,0.2,1.0,48.0,6.0,384.0,0.12
Office Supplies,New York City,United States,Resi Plking,Other,2014-04-07,CA-2012-166492,10035.0,X-Rack File for Hanging Folders,East,Consumer,2014-04-09,First Class,New York,Storage,0.0,1.0,6.0,2.0,23.0,0.26
Office Supplies,New York City,United States,Mick Crebagga,Other,2014-04-09,CA-2012-116512,10024.0,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",East,Consumer,2014-04-10,Standard Class,New York,Storage,0.0,1.0,3.0,3.0,18.0,0.17
Office Supplies,Norwich,United States,Ivan Gibson,Honeywell,2014-04-09,CA-2012-101000,6360.0,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,East,Consumer,2014-04-14,Standard Class,Connecticut,Appliances,0.0,1.0,144.0,3.0,370.0,0.39
Office Supplies,Sacramento,United States,Dario Medina,Other,2014-04-09,CA-2012-168767,95823.0,Insertable Tab Post Binder Dividers,West,Corporate,2014-04-14,Standard Class,California,Binders,0.2,1.0,4.0,2.0,13.0,0.31
Office Supplies,Rochester,United States,Eugene Hildebrand,Other,2014-04-10,CA-2012-134201,14609.0,Steel Personal Filing/Posting Tote,East,Home Office,2014-04-14,Standard Class,New York,Storage,0.0,1.0,38.0,4.0,142.0,0.27
Office Supplies,Rochester,United States,Eugene Hildebrand,Other,2014-04-10,CA-2012-134201,14609.0,Faber Castell Col-Erase Pencils,East,Home Office,2014-04-15,Standard Class,New York,Art,0.0,1.0,6.0,3.0,15.0,0.4
Technology,New York City,United States,Sanjit Engle,Maxell,2014-04-10,CA-2012-111164,10009.0,Maxell 4.7GB DVD-R,East,Consumer,2014-04-16,Standard Class,New York,Accessories,0.0,1.0,35.0,3.0,85.0,0.41
Technology,New York City,United States,Sanjit Engle,OtterBox,2014-04-11,CA-2012-111164,10009.0,OtterBox Commuter Series Case - iPhone 5 & 5s,East,Consumer,2014-04-16,Standard Class,New York,Phones,0.0,1.0,11.0,1.0,22.0,0.5
Office Supplies,New York City,United States,Sanjit Engle,Kensington,2014-04-11,CA-2012-111164,10009.0,Kensington 4 Outlet MasterPiece Compact Power Control Center,East,Consumer,2014-04-15,Standard Class,New York,Appliances,0.0,1.0,114.0,5.0,407.0,0.28
Furniture,Tampa,United States,Patrick Ryan,Executive Impressions,2014-04-11,CA-2012-125563,33614.0,Executive Impressions Supervisor Wall Clock,South,Consumer,2014-04-15,Standard Class,Florida,Furnishings,0.2,1.0,10.0,2.0,67.0,0.15
Furniture,Tampa,United States,Patrick Ryan,Executive Impressions,2014-04-11,CA-2012-125563,33614.0,"Executive Impressions 14"" Two-Color Numerals Wall Clock",South,Consumer,2014-04-15,Standard Class,Florida,Furnishings,0.2,1.0,14.0,3.0,55.0,0.25
Office Supplies,Los Angeles,United States,Andy Reiter,Easy-staple paper,2014-04-11,US-2012-136987,90004.0,Easy-staple paper,West,Consumer,2014-04-17,Second Class,California,Paper,0.0,1.0,24.0,2.0,53.0,0.45
Office Supplies,Seattle,United States,Robert Dilbeck,Rogers,2014-04-11,CA-2012-145415,98103.0,"Rogers Jumbo File, Granite",West,Home Office,2014-04-14,Second Class,Washington,Storage,0.0,1.0,0.0,3.0,41.0,0.0
